"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"866","RT @RDianelove: #Diada2017 #LaDiadaDelSi  #11S2017 

Demonstration of September 11 for #Democracy, #Peace and #Freedom of #Catalonia. ( #Ba…",FALSE,0,NA,2017-11-30 16:18:34,FALSE,NA,"936268222839640064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marizulca",1197,TRUE,FALSE,NA,NA
"867","RT @AssangeFreedom: @JulianAssange All power to the actor from #Catalonia sticking it to corrupt power &amp; sticking by his free speech rights…",FALSE,0,NA,2017-11-30 16:18:33,FALSE,NA,"936268219198902275",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BuntinRobert",22,TRUE,FALSE,NA,NA
"868","Home of the theme park, Port Aventura- #Salou in #Catalonia is a lively holiday town https://t.co/AoAoqWFCOS https://t.co/MDuuxu1UX3",FALSE,0,NA,2017-11-30 16:18:18,FALSE,NA,"936268159761502208",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","jackiedeburca",0,FALSE,FALSE,"0.3339902","40.5909089"
"869","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 16:17:09,FALSE,NA,"936267868831969283",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ricardmollon",637,TRUE,FALSE,NA,NA
"870","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 16:16:10,FALSE,NA,"936267618981433344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PinyolElisenda",637,TRUE,FALSE,NA,NA
"871","RT @Laksmiz: .@GeorgeKerevan: The treatment of #Catalonia shows the spirit of #Franco still lives on in #Spain
https://t.co/2HERNH2P0T http…",FALSE,0,NA,2017-11-30 16:15:01,FALSE,NA,"936267332376322050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","finder__style",740,TRUE,FALSE,NA,NA
"872","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 16:14:45,FALSE,NA,"936267263400988673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Monica_RoRo",637,TRUE,FALSE,NA,NA
"873","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 16:13:48,FALSE,NA,"936267024178741248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abrileta27",637,TRUE,FALSE,NA,NA
"874","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 16:13:33,FALSE,NA,"936266964506415105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrackFreeClare",2130,TRUE,FALSE,NA,NA
"875","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 16:13:30,FALSE,NA,"936266948253569030",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Crickro",637,TRUE,FALSE,NA,NA
